Execution time (s): 45.706626
Total clicks: 26

Mouse path (time_seconds, x, y):
0.000007, 0, 0
0.007635, 0, 0
0.009709, 0, 0
0.009897, 0, 0
0.012474, 0, 0
0.018032, 0, 0
0.023612, 0, 0
0.029158, 0, 0
0.034700, 0, 0
0.040251, 0, 0
0.045882, 0, 0
0.051842, 0, 0
0.056935, 0, 0
0.062610, 0, 0
0.068046, 0, 0
0.073556, 0, 0
0.079186, 0, 0
0.084887, 0, 0
0.090633, 0, 0
0.095783, 0, 0
0.101631, 0, 0
0.106884, 0, 0
0.112666, 0, 0
0.118013, 0, 0
0.123576, 0, 0
0.129163, 0, 0
0.134795, 0, 0
0.140574, 0, 0
0.145782, 0, 0
0.151608, 0, 0
0.156892, 0, 0
0.162609, 0, 0
0.168010, 0, 0
0.173552, 0, 0
0.179140, 0, 0
0.185017, 0, 0
0.190622, 0, 0
0.195804, 0, 0
0.201848, 0, 0
0.206885, 0, 0
0.212548, 0, 0
0.218007, 0, 0
0.223551, 0, 0
0.229169, 0, 0
0.234668, 0, 0
0.240601, 0, 0
0.245776, 0, 0
0.251641, 0, 0
0.256890, 0, 0
0.262566, 0, 0
0.268007, 0, 0
0.273551, 0, 0
0.279146, 0, 0
0.284749, 0, 0
0.290542, 0, 0
0.295787, 0, 0
0.301870, 0, 0
0.307002, 0, 0
0.312853, 0, 0
0.318021, 0, 0
0.323580, 0, 0
0.329161, 0, 0
0.335269, 0, 0
0.340766, 0, 0
0.345830, 0, 0
0.351850, 0, 0
0.356884, 0, 0
0.362970, 3, 224
0.368840, 18, 220
0.373947, 34, 216
0.379715, 50, 211
0.385093, 62, 207
0.390591, 75, 202
0.396766, 90, 197
0.401807, 100, 193
0.407803, 114, 187
0.412835, 124, 183
0.418862, 139, 178
0.423939, 150, 174
0.429764, 161, 170
0.435083, 175, 166
0.440758, 188, 163
0.446257, 203, 160
0.451803, 215, 158
0.457276, 228, 156
0.462783, 243, 154
0.468853, 258, 151
0.474047, 268, 150
0.479643, 284, 147
0.485231, 294, 146
0.490633, 309, 143
0.496828, 321, 141
0.501740, 333, 138
0.512848, 357, 132
0.512915, 357, 132
0.518746, 369, 129
0.523923, 377, 127
0.529797, 388, 123
0.535031, 396, 120
0.540591, 408, 115
0.546218, 415, 112
0.551880, 426, 108
0.557310, 433, 105
0.562844, 443, 101
0.568438, 451, 98
0.573893, 459, 94
0.579893, 469, 90
0.585177, 477, 87
0.590576, 486, 83
0.596086, 493, 79
0.601902, 500, 76
0.607294, 506, 73
0.612770, 513, 70
0.618822, 518, 67
0.623799, 523, 65
0.629986, 528, 62
0.635231, 532, 60
0.640534, 537, 57
0.646613, 541, 55
0.651732, 545, 52
0.657289, 548, 50
0.662760, 552, 48
0.668425, 555, 46
0.673850, 558, 44
0.679420, 560, 43
0.685224, 561, 42
0.690543, 562, 41
0.696115, 563, 40
0.701862, 564, 39
0.707182, 565, 38
0.712752, 566, 37
0.718944, 567, 35
0.723902, 568, 34
0.729501, 569, 33
0.735104, 570, 31
0.740564, 572, 29
0.746096, 573, 28
0.751778, 574, 26
0.757244, 575, 25
0.762749, 576, 24
0.768389, 577, 23
0.773895, 578, 22
0.779459, 579, 21
0.785096, 580, 20
0.790518, 581, 19
0.796077, 582, 19
0.801872, 584, 17
0.807301, 585, 17
0.812766, 587, 15
0.818733, 589, 14
0.823844, 590, 13
0.829802, 592, 12
0.835104, 593, 11
0.840547, 594, 9
0.846087, 595, 8
0.851846, 597, 7
0.857626, 599, 6
0.862770, 600, 4
0.868788, 602, 3
0.873833, 603, 2
0.879822, 605, 1
0.885106, 605, 1
0.890670, 605, 1
0.896119, 605, 1
0.901701, 605, 1
0.906853, 605, 1
0.912817, 605, 1
0.917967, 605, 1
